,Unnamed: 0,id,full_name,Age,FG_PCT,FGA/GP,FG3A/GP,FG3_PCT,REB/GP,AST/GP,STL/GP,PTS/GP,labels,labels_cat
385,385,1630174,Aaron Nesmith,23.0,0.413,4.923188405797101,2.719788182831661,0.306,2.424136008918617,0.7076923076923077,0.2369007803790412,5.302787068004459,3,3
386,386,203526,Raul Neto,30.0,0.455875,4.514407264861406,1.55617230361895,0.3466249999999999,1.5104618065365016,1.935179901700481,0.607083422254281,5.462157306024811,3,3
387,387,1627777,Georges Niang,29.0,0.4072857142857143,3.966702691332292,2.671799474233248,0.3047142857142857,1.5504923151764094,0.6531659072761736,0.2481192667584864,4.770065575049479,3,3
388,388,1630227,Daishen Nix,20.0,0.368,2.895833333333333,1.2083333333333333,0.1345,1.0208333333333333,1.8333333333333333,0.3125,3.104166666666667,2,2
389,389,1630192,Zeke Nnaji,21.0,0.5546666666666668,2.837591947348045,1.2019938056523425,0.29,1.7109949670925282,0.2175764614789005,0.276906697638405,3.941153697251258,3,3
390,390,203457,Nerlens Noel,28.0,0.5706,5.303070272544831,0.0333330009228787,0.0833,6.0522810855051175,1.027578649421952,1.2443235093025593,7.230118075185601,1,1
391,391,1629669,Jaylen Nowell,23.0,0.432,8.042703533026113,3.371351766513057,0.29075,2.4781105990783407,1.7099078341013825,0.4898233486943165,9.38095238095238,3,3
392,392,1628373,Frank Ntilikina,23.0,0.372,5.009853637688863,2.091817289479046,0.3494,1.7433513011278596,2.160407660264158,0.6978695919648944,4.950977258928974,3,3
393,393,1629134,Kendrick Nunn,27.0,0.4046666666666667,11.04726368159204,5.266702203269367,0.322,2.710998578535892,2.4754797441364604,0.6714641080312722,11.78500355366027,0,0
394,394,203994,Jusuf Nurkic,28.0,0.4851818181818181,9.620637164772525,0.3948717148569129,0.0882727272727272,8.742717462896616,2.4054800126257865,0.9335366890695596,12.118561486484618,1,1
395,395,1628021,David Nwaba,29.0,0.5048333333333332,4.978810944667722,1.171443794909268,0.3118333333333333,3.4115272195834856,0.906456785612796,0.7262391913287054,6.657134737953153,3,3
